rating,userId,movieId,prediction
3,0,708,4.357469467479688
5,0,2162,3.1791497047411115
4,0,574,3.1149700572878296
5,0,0,3.0
5,0,581,2.7698298909728853
4,0,2102,1.0
3,0,2483,0.0
4,0,740,0.0
4,0,1439,0.0
4,0,1727,0.0
3,1,2426,4.1494708930448185
3,1,1623,0.0
3,1,1273,0.0
3,1,1428,0.0
3,1,2296,0.0
3,1,1286,0.0
3,1,737,0.0
3,1,2674,0.0
2,1,2891,0.0
4,1,358,0.0
5,2,1167,5.0
3,2,1178,4.275802737307415
5,2,2162,4.046733843698468
5,2,1007,3.688620341594273
2,2,1504,3.660510041160376
5,2,3318,3.265215336518286
2,2,1173,3.0
3,2,3622,3.0
4,2,1900,3.0
2,2,3379,0.0
5,3,1774,4.379590160955473
4,3,971,4.246691042663702
5,3,1148,4.187212435464414
4,3,3460,4.0
4,3,2743,0.0
2,4,2078,4.0
4,4,1449,3.677692203808088
4,4,367,3.533436854758965
3,4,1406,2.4673536260747393
2,4,1516,1.0
3,4,1729,1.0
4,4,501,0.0
4,4,1569,0.0
2,4,398,0.0
2,4,5,0.0
4,5,859,4.415022045260851
5,5,3177,3.0
4,5,3384,3.0
5,5,583,2.5776820930365947
4,5,1441,2.5103008409989767
4,5,3341,2.0
5,5,3510,1.9510290482982506
4,5,3475,1.0
4,5,259,0.0
5,5,2859,0.0
5,6,370,3.961191041482496
5,6,3032,3.9134975117073347
3,6,2891,3.754937018951237
4,6,1575,3.7484380031474624
5,6,339,3.728249354438459
5,6,2160,3.7060039289435385
4,6,1445,3.601226326984271
4,7,0,4.5722570819053185
4,7,3035,0.0
4,7,1658,0.0
4,7,259,0.0
4,7,223,0.0
4,7,1560,0.0
4,7,3295,0.0
3,7,1843,0.0
2,7,2127,0.0
3,7,275,0.0
4,8,466,5.0
4,8,510,5.0
4,8,1516,5.0
3,8,786,4.496529815624266
3,8,1732,4.363238484765363
3,8,1258,4.345078113797256
5,8,576,4.170434170870588
4,8,339,4.0
4,8,15,4.0
5,8,515,3.7627019894184257
5,9,2374,5.0
5,9,1453,5.0
4,9,1277,5.0
5,9,2438,5.0
4,9,309,5.0
5,9,1781,5.0
4,9,513,5.0
4,9,1275,4.62738202901124
5,9,1025,4.602332219743586
5,9,31,4.482586026361806
2,10,2238,5.0
4,10,1895,5.0
4,10,1613,4.018560543450179
4,10,210,4.0
1,10,421,4.0
3,10,2142,3.7497943410160293
4,10,2344,3.727062340774921
1,10,745,3.512518584004288
4,10,1584,3.5076872641352823
4,10,2480,3.4469004104327263
5,11,2599,5.0
5,11,862,4.227072292795192
3,11,3133,4.0
3,11,1160,3.9999309731888624
3,11,1155,3.748009231293908
3,12,1934,2.9972968526940837
3,12,3457,0.0
4,12,1865,0.0
2,12,2221,0.0
2,12,1825,0.0
5,12,407,0.0
2,12,58,0.0
3,12,1126,0.0
3,12,307,0.0
3,12,2822,0.0
4,13,1135,4.52854569044693
1,13,593,4.078316214599088
5,13,287,4.0
5,13,1171,3.0
4,13,2526,0.0
4,14,253,4.17623611537112
4,14,357,4.0
3,14,2438,4.0
4,14,1120,3.8686847873961905
4,14,1106,3.8198700512859665
5,14,3277,3.0000000000000004
4,14,627,3.0
3,14,3512,3.0
3,14,1384,2.0
3,14,1508,1.0
5,15,2201,4.0
3,15,2775,3.639416714517729
4,15,2384,3.0
3,15,2292,3.0
4,15,2519,3.0
3,15,2600,0.0
2,15,2496,0.0
4,16,1449,4.578174582062117
4,16,737,4.534951905686522
4,16,595,3.0000000000000004
3,16,2333,3.0
3,16,3045,3.0
4,16,2438,3.0
4,16,1865,3.0
4,16,1924,3.0
4,16,2819,3.0
5,16,954,3.0
4,17,1104,5.0
5,17,2651,5.0
5,17,1117,5.0
4,17,16,5.0
5,17,1780,5.0
1,17,1097,5.0
5,17,1840,5.0
5,17,1096,5.0
5,17,1154,4.660843769858078
5,17,1782,4.514666862242364
5,18,1125,5.0
3,18,2958,5.0
4,18,575,5.0
5,18,1183,5.0
5,18,1143,5.0
5,18,1104,4.831857986412597
4,18,107,4.747724254314533
5,18,2651,4.635569260121583
4,18,309,4.412200286178643
4,18,1066,4.412091058039601
4,19,3294,4.0
5,19,3510,3.7002890060233895
5,19,1406,3.504014301422437
4,19,1148,3.0
4,19,1272,2.0
5,20,3503,0.0
1,20,582,0.0
3,20,2102,0.0
1,20,2201,0.0
4,20,2595,0.0
4,21,2944,4.999999999999999
4,21,3294,4.425913666513481
4,21,2012,4.0
2,21,1873,4.0
4,21,1831,4.0
4,21,3456,4.0
4,21,1108,3.852282244957159
4,21,1050,3.829443393607466
4,21,1199,3.805286680546474
3,21,443,3.7541419632418287
4,22,2557,4.0
3,22,107,4.0
5,22,971,4.0
4,22,15,4.0
5,22,1132,4.0
5,22,2838,4.0
3,22,1129,3.6446553716996433
3,22,843,3.5932764345310573
